구별,외부신체장애,내부기관장애,정신적장애,심한장애,안 심한장애,장애인연금수급율
종로구,0.8036768426378815,0.06679035250463822,0.12953280485748017,0.37206948895260583,0.6279305110473942,0.8295
중구,0.8308484203052893,0.06656017039403621,0.10259140930067448,0.34930777422790205,0.650692225772098,0.6137
용산구,0.8014571948998179,0.07689305230288837,0.12164975279729377,0.358704137392662,0.6412958626073381,0.5700999999999999
성동구,0.8116802552286424,0.07328961361219424,0.11503013115916341,0.3414569301666076,0.6585430698333924,0.6051
광진구,0.8020076715906309,0.07361462498979841,0.12437770341957072,0.3540357463478332,0.6459642536521668,0.5799
동대문구,0.8216909395540662,0.06856553679597886,0.10974352364995489,0.34392318597757443,0.6560768140224256,0.6434000000000001
중랑구,0.8067495210492704,0.07373385076386502,0.11951662818686447,0.36970084000589476,0.6302991599941052,0.7238
성북구,0.8121620066735703,0.07082038890806581,0.11701760441836383,0.34725578184328615,0.6527442181567138,0.6317
강북구,0.8098878988215004,0.0670882437482035,0.12302385743029606,0.3724633515377982,0.6275366484622018,0.7424
도봉구,0.8009150326797385,0.07006535947712418,0.12901960784313726,0.3630718954248366,0.6369281045751634,0.6788
노원구,0.777839726434731,0.06638418079096045,0.15577609277430865,0.4406779661016949,0.559322033898305,0.7676999999999999
은평구,0.7772108843537415,0.06839492553778267,0.15439419010847583,0.38274498988784705,0.617255010112153,0.7284999999999999
서대문구,0.8022094062220778,0.07627325156364227,0.12151734221427991,0.36000324912679715,0.6399967508732028,0.6252
마포구,0.8018539976825029,0.07562765546543067,0.12251834685206643,0.3801467748165315,0.6198532251834685,0.616
양천구,0.8094151212553495,0.06881597717546362,0.12176890156918688,0.3610271041369472,0.6389728958630528,0.6546
강서구,0.7863448469137533,0.07174385202830519,0.14191130105794156,0.42212569186576054,0.5778743081342395,0.7622
구로구,0.8127789267443126,0.06732339174921084,0.11989768150647653,0.35800587787090454,0.6419941221290955,0.6486
금천구,0.8155873625414558,0.06624192703787747,0.11817071042066679,0.35564670972246465,0.6443532902775353,0.6857
영등포구,0.8209037599172128,0.07105898585719213,0.10803725422559501,0.33756467747499136,0.6624353225250086,0.5710000000000001
동작구,0.8120274675730041,0.07373239925088437,0.11424013317611154,0.36075466463203165,0.6392453353679683,0.5992000000000001
관악구,0.8033744000791648,0.07184206620157339,0.12478353371926178,0.36539508188610165,0.6346049181138984,0.6435
서초구,0.7781556700029151,0.08852395296861336,0.13332037702847147,0.3958798950539306,0.6041201049460694,0.5243
강남구,0.7533263074693716,0.08365169279409827,0.1630219997365301,0.44756949018574627,0.5524305098142537,0.638
송파구,0.7759382982904304,0.08233444684613872,0.14172725486343093,0.3815582629200236,0.6184417370799764,0.5839
강동구,0.7899967766197485,0.07263350166541313,0.1373697217148383,0.38277640485655956,0.6172235951434404,0.6309
