"시점","행정구역(시군구)별","성별",계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세 이상,80세,81세,82세,83세,84세,85세 이상,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
"2021","대전광역시","계",1449628,7322.5,8077.5,8993,9947.5,11232,12392,12775.5,12803.5,13468.5,13985,13849.5,13464.5,13622.5,14459.5,14336.5,13570.5,14049.5,15105.5,15302.5,16373,18657.5,19769.5,20228,21302.5,21804.5,22070,22146,21642.5,21537.5,21110.5,19769,18467,18033.5,17715.5,17572.5,17918,18127.5,19165.5,21272.5,22698,22846,22609.5,21477,21206,21840.5,22076.5,23356,25136.5,25615,26066.5,26285.5,26162,26532.5,25135.5,22702,22199,22424.5,21177.5,21873,24254,24643,23334,20970,19865.5,19110.5,18296,17115.5,14466.5,13496.5,12186.5,10877.5,11116.5,10858,10421,9056.5,7671,7477,7519,8278.5,8094,47662,6344,5860,5709,4978.5,4418,20352.5,3929.5,3400.5,2820.5,2325,1861,1456,1165.5,965,765.5,503,337,252,192,142.5,88,149.5
"2021","대전광역시","남자",722810,3811.5,4133,4557,5109.5,5784.5,6367,6593.5,6581.5,6896,7201,7142.5,6926,7027,7439,7376,7053.5,7324.5,7836.5,7946,8494.5,9485.5,9995.5,10420,10951.5,11364,11783.5,11855.5,11581.5,11524,11204,10578.5,9972,9711.5,9459,9239.5,9360.5,9364,9787.5,10783.5,11426,11452,11245,10712.5,10518.5,10775.5,10933.5,11613.5,12420.5,12711.5,13141.5,13271.5,13096,13106,12315,11406.5,11187,11097,10555.5,10894,11996,11960.5,11284.5,10204.5,9778.5,9384,8864,8176.5,6963,6514,5830,5171.5,5271,5089,4826,4191.5,3522,3330.5,3241,3532.5,3410,16370,2568.5,2302,2210,1877.5,1562.5,5849.5,1303,1098,881,693,518,369.5,278.5,217.5,172.5,107.5,67.5,50.5,32.5,22,16,22.5
"2021","대전광역시","여자",726818,3511,3944.5,4436,4838,5447.5,6025,6182,6222,6572.5,6784,6707,6538.5,6595.5,7020.5,6960.5,6517,6725,7269,7356.5,7878.5,9172,9774,9808,10351,10440.5,10286.5,10290.5,10061,10013.5,9906.5,9190.5,8495,8322,8256.5,8333,8557.5,8763.5,9378,10489,11272,11394,11364.5,10764.5,10687.5,11065,11143,11742.5,12716,12903.5,12925,13014,13066,13426.5,12820.5,11295.5,11012,11327.5,10622,10979,12258,12682.5,12049.5,10765.5,10087,9726.5,9432,8939,7503.5,6982.5,6356.5,5706,5845.5,5769,5595,4865,4149,4146.5,4278,4746,4684,31292,3775.5,3558,3499,3101,2855.5,14503,2626.5,2302.5,1939.5,1632,1343,1086.5,887,747.5,593,395.5,269.5,201.5,159.5,120.5,72,127
"2021","울산광역시","계",1124040.5,6150.5,6905,7663.5,8502,9700.5,10785,11150,11044,11544.5,11788.5,11458,11130,11023.5,11531,11160,10312.5,10443,11092.5,11317.5,11670.5,13242,13744.5,13406,13748.5,14068.5,14383.5,14543,14435,14522,14624,13924,13433.5,13362,13142,13331.5,13739,14329,15686,17712,18981.5,19351.5,19191,17673.5,17017.5,17146.5,17009.5,17995,19165.5,19689.5,20473,21011.5,21189.5,21760,21591,20675,20672.5,20484.5,19162,19544.5,20966.5,20923.5,19600.5,17790.5,16523.5,15362.5,14607.5,13299.5,11368,10767.5,9529.5,8212.5,7946,7704,7361,6101,4728,4588.5,4822,5142.5,4712,26451.5,3793.5,3513.5,3146.5,2724.5,2352.5,10921,2096.5,1859,1555.5,1257,990,753.5,621.5,514,380.5,268,193,144.5,112.5,77.5,39,59
"2021","울산광역시","남자",577173.5,3124,3481,3909.5,4386.5,5051.5,5585,5754.5,5660.5,5908,6092,5963.5,5818.5,5745,5959,5777.5,5424.5,5536,5899.5,6000,6297,7311.5,7645.5,7505,7709,7991,8244.5,8270.5,8225,8220,8099,7658,7393,7341.5,7121.5,7109.5,7298,7534.5,8091,9073.5,9822,10024.5,9889,9242.5,8881,8845.5,8695,9038,9541.5,9762.5,10221,10422,10467.5,10765,10603,10501.5,10753,10555,9950,10217.5,10841,10623,9938,9066,8346.5,7708.5,7241,6640.5,5725,5354,4745,4103.5,3960.5,3829.5,3629.5,2971,2280.5,2086.5,2123,2238.5,1986.5,8324.5,1525,1359.5,1160.5,914,732,2633.5,605,531.5,434.5,322,213,152,122.5,90.5,56,35,21.5,14.5,20,10,2,3.5
"2021","울산광역시","여자",546867,3026.5,3424,3754,4115.5,4649,5200,5395.5,5383.5,5636.5,5696.5,5494.5,5311.5,5278.5,5572,5382.5,4888,4907,5193,5317.5,5373.5,5930.5,6099,5901,6039.5,6077.5,6139,6272.5,6210,6302,6525,6266,6040.5,6020.5,6020.5,6222,6441,6794.5,7595,8638.5,9159.5,9327,9302,8431,8136.5,8301,8314.5,8957,9624,9927,10252,10589.5,10722,10995,10988,10173.5,9919.5,9929.5,9212,9327,10125.5,10300.5,9662.5,8724.5,8177,7654,7366.5,6659,5643,5413.5,4784.5,4109,3985.5,3874.5,3731.5,3130,2447.5,2502,2699,2904,2725.5,18127,2268.5,2154,1986,1810.5,1620.5,8287.5,1491.5,1327.5,1121,935,777,601.5,499,423.5,324.5,233,171.5,130,92.5,67.5,37,55.5
"2021","세종특별자치시","계",362921.5,3394.5,3666,4062,4455.5,4868,5256.5,5324,5203,5418.5,5516.5,5324,5139.5,5018.5,5018,4651,4164,3983,3885.5,3627,3417,3543.5,3555,3386,3358.5,3434.5,3593.5,3827.5,4026,4411,4802.5,4924,4983.5,5247,5533,5811.5,6027,6210.5,6763.5,7706,8267,8117,8084,7464,6946,6987,6697,6756.5,6795.5,6469,6261.5,6040.5,5581,5353.5,4926.5,4384,4186,4176,3945,3952,4271.5,4255,4028.5,3688,3495,3286,3200,2997.5,2423,2247,2050,1780.5,1882,1759,1621,1421.5,1180.5,1130,1165.5,1293.5,1279.5,8542,1043.5,953,950,825,752,4018.5,732.5,656,547,466,370.5,304,257,209.5,152,101.5,70,44,32.5,31,19.5,25.5
"2021","세종특별자치시","남자",181134.5,1702,1868,2074,2262,2485.5,2680,2715,2667,2770.5,2858,2740.5,2632,2512,2475,2337,2087.5,1974.5,1919.5,1820,1749,1853.5,1871,1777,1759,1797.5,1860,1965.5,2026,2145,2306.5,2355,2409,2576.5,2734,2851,2980,3068.5,3294.5,3710,4025,3989.5,3993,3693.5,3476.5,3491,3377.5,3462,3540.5,3455,3412.5,3244,2958.5,2807,2540,2254,2154.5,2170,2059,2061,2167,2125,2001.5,1840,1751.5,1641.5,1581.5,1478.5,1177,1089,996,882,916,855,780,658,542.5,499.5,501.5,543,526,2750,419,363.5,354,290.5,257.5,1065.5,242.5,204.5,162.5,114,81,75,56,40.5,30,19.5,14.5,6.5,6,4.5,4,4.5
"2021","세종특별자치시","여자",181787,1692.5,1798,1988,2193.5,2382.5,2576.5,2609,2536,2648,2658.5,2583.5,2507.5,2506.5,2543,2314,2076.5,2008.5,1966,1807,1668,1690,1684,1609,1599.5,1637,1733.5,1862,2000,2266,2496,2569,2574.5,2670.5,2799,2960.5,3047,3142,3469,3996,4242,4127.5,4091,3770.5,3469.5,3496,3319.5,3294.5,3255,3014,2849,2796.5,2622.5,2546.5,2386.5,2130,2031.5,2006,1886,1891,2104.5,2130,2027,1848,1743.5,1644.5,1618.5,1519,1246,1158,1054,898.5,966,904,841,763.5,638,630.5,664,750.5,753.5,5792,624.5,589.5,596,534.5,494.5,2953,490,451.5,384.5,352,289.5,229,201,169,122,82,55.5,37.5,26.5,26.5,15.5,21
"2021","경기도","계",13398945,75801.5,84751.5,93548.5,101777,113193,125009.5,128712,127259.5,133730.5,138503.5,135510.5,131411.5,130300,136126.5,132660.5,122980,124916,131978.5,133503.5,142269,159992.5,166983,165908.5,172561.5,179386.5,185089.5,189403.5,190203,192853.5,193537.5,182793,173568,173247,172695.5,173248,179329,184471,197933,220814.5,234400,236610,233820,216723.5,209329.5,214589,214696,225626.5,237656,241692.5,247362.5,248363,243757,241439,229487.5,213698,212180,214459.5,204245.5,205773,216476,217449,206487,188082,175765.5,161794,153749,142783.5,120525,116427,100622,83859,88331.5,88217,88955.5,81354.5,68528.5,64204,63783,68731.5,67195,411757,56100,51407,48033,42567,37922,175728,33864,29233,23741.5,19558,15758.5,12594.5,10570.5,8467.5,6460.5,4543.5,3207,2269.5,1762,1381.5,863.5,1453
