사업체명,산업대분류,주소,상시근로자수,고용의무인원,장애인 근로자(2배수),장애인고용률(2배수)
이녹스첨단소재,(C)제조업(10~34),충청남도 아산시,651,20,5,0.77
헨켈코리아 유한회사,(C)제조업(10~34),충청남도 천안시 동남구,501,15,5,1
(주)수산인더스트리,(F)건설업(41~42),충청남도 천안시 서북구,1393,43,14,1.01
경남기업(주),(F)건설업(41~42),충청남도 아산시,386,11,4,1.04
(주)에스피네이처,(B)광업(05~08),충청남도 당진시,428,13,5,1.17
현담산업(주),(C)제조업(10~34),충청남도 아산시,587,18,7,1.19
(주)두원공조,(C)제조업(10~34),충청남도 아산시,471,14,6,1.27
삼호개발(주),(F)건설업(41~42),충청남도 당진시,2272,70,32,1.41
(주)탬즈,(C)제조업(10~34),충청남도 서산시,355,11,1,0.28
㈜아이티에스,(C)제조업(10~34),충청남도 서산시,379,11,3,0.79
제주평생교육장학진흥원,"(O)공공 행정, 국방 및 사회보장 행정(84)",제주특별자치도 제주시,64,2,0,0
황보건설(주),(F)건설업(41~42),제주특별자치도 제주시,335,10,1,0.3
의료법인 열린의료재단,(Q)보건업 및 사회복지 서비스업(86~87),제주특별자치도 서귀포시,398,12,2,0.5
주식회사쏘카,(H)운수 및 창고업(49~52),제주특별자치도 제주시,363,11,2,0.55
제주감귤농업협동조합,(K)금융 및 보험업(64~66),제주특별자치도 서귀포시,491,15,3,0.61
제주특별자치도제주의료원,(Q)보건업 및 사회복지 서비스업(86~87),제주특별자치도 제주시,264,8,2,0.76
청암기업(주),(F)건설업(41~42),제주특별자치도 제주시,575,17,5,0.87
피플라이프 주식회사,(K)금융 및 보험업(64~66),서울특별시 서초구,485,15,0,0
(주)씨엠에스에듀,(P)교육 서비스업(85),서울특별시 서초구,316,9,0,0
한국애질런트테크놀로지스(주),(C)제조업(10~34),서울특별시 서초구,312,9,0,0
올림푸스한국(주),(G)도매 및 소매업(45~47),서울특별시 서초구,439,13,1,0.23
베스핀글로벌,(J)정보통신업(58~63),서울특별시 서초구,559,17,2,0.36
(주)농협정보시스템,(J)정보통신업(58~63),서울특별시 서초구,509,15,2,0.39
동원씨앤에스(주),"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 서초구,727,22,3,0.41
(주)바바패션,(C)제조업(10~34),서울특별시 서초구,660,20,3,0.45
삼일제약(주),(C)제조업(10~34),서울특별시 서초구,431,13,2,0.46
(주)조형기술개발,(F)건설업(41~42),서울특별시 서초구,846,26,4,0.47
(주)에이블씨엔씨,(G)도매 및 소매업(45~47),서울특별시 서초구,373,11,2,0.54
대명지이씨(주),(F)건설업(41~42),서울특별시 서초구,1220,37,7,0.57
(주)두리이에프씨,(F)건설업(41~42),서울특별시 서초구,423,13,3,0.71
원영건업(주),(F)건설업(41~42),서울특별시 서초구,1502,46,11,0.73
(주)한독모터스,(G)도매 및 소매업(45~47),서울특별시 서초구,947,29,7,0.74
(주)아이티센,(J)정보통신업(58~63),서울특별시 서초구,543,16,4,0.74
일동제약주식회사,(C)제조업(10~34),서울특별시 서초구,1461,45,11,0.75
(주)아이센스,(C)제조업(10~34),서울특별시 서초구,533,16,4,0.75
(주)동원에프앤비,(C)제조업(10~34),서울특별시 서초구,3318,102,28,0.84
(주)인동에프엔,(G)도매 및 소매업(45~47),서울특별시 서초구,358,11,3,0.84
경농,(C)제조업(10~34),서울특별시 서초구,355,11,3,0.85
(주)원프랜트,(F)건설업(41~42),서울특별시 서초구,453,14,4,0.88
(주)성보엔지니어링,(F)건설업(41~42),서울특별시 서초구,663,20,6,0.9
주식회사케이이씨,(C)제조업(10~34),서울특별시 서초구,621,19,6,0.97
(주)사조씨앤씨,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 서초구,967,29,10,1.03
동흥개발(주),(F)건설업(41~42),서울특별시 서초구,386,11,4,1.04
동원산업(주),"(A)농업, 임업 및 어업(01~03)",서울특별시 서초구,1044,32,11,1.05
(주)나우동인건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 서초구,471,14,5,1.06
(주)리노스,(J)정보통신업(58~63),서울특별시 서초구,368,11,4,1.09
제일엔지니어링종합건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 서초구,530,16,6,1.13
(주)에이치엔씨네트워크,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 서초구,881,27,10,1.14
대선이엔씨(주),(F)건설업(41~42),서울특별시 서초구,352,10,4,1.14
동원로엑스(주),(H)운수 및 창고업(49~52),서울특별시 서초구,1542,47,18,1.17
(사)대한산업보건협회,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 서초구,1553,48,19,1.22
(주)사조대림,"(A)농업, 임업 및 어업(01~03)",서울특별시 서초구,889,27,11,1.24
(주)가람감정평가법인,(L)부동산업(68),서울특별시 서초구,403,12,5,1.24
동원홈푸드,(C)제조업(10~34),서울특별시 서초구,2307,71,32,1.39
이엘씨에이한국,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 강남구,1653,51,0,0
엘코잉크한국지점,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 강남구,1105,34,0,0
프라다코리아(유),(G)도매 및 소매업(45~47),서울특별시 강남구,650,20,0,0
(주)글로벌휴먼스,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강남구,637,19,0,0
(주)발렌타인,(C)제조업(10~34),서울특별시 강남구,492,15,0,0
(주)에스엠엔터테인먼트,(J)정보통신업(58~63),서울특별시 강남구,477,14,0,0
(주)쏘메이,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 강남구,472,14,0,0
아마존웹서비시스코리아,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강남구,449,13,0,0
메드트로닉 코리아,(G)도매 및 소매업(45~47),서울특별시 강남구,412,12,0,0
글로벌브랜드그룹코리아 유한회사,"(R)예술, 스포츠 및 여가관련 서비스업(90~91)",서울특별시 강남구,383,11,0,0
한국아스트라제네카(주),(G)도매 및 소매업(45~47),서울특별시 강남구,382,11,0,0
페라가모코리아,(G)도매 및 소매업(45~47),서울특별시 강남구,377,11,0,0
(주)알피바이오,(C)제조업(10~34),서울특별시 강남구,370,11,0,0
